home_team,away_team,home_score,home_penalty,away_score,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Round,Date,Referee,Host,Year
Portugal,Korea DPR,5,,3,,Otto Gloria,Mário Coluna,Rye Hyun Myung,Pak Seung-zin,40248,Goodison Park- Liverpool,Quarter-finals,24311,Menachem Ashkenazi,England,1966
England,Argentina,1,,0,,Alf Ramsey,Bobby Moore,Juan Carlos Lorenzo,Antonio Rattín,90584,Wembley Stadium- London,Quarter-finals,24311,Rudolf Kreitlein,England,1966
Soviet Union,Hungary,2,,1,,Nikolai Morozov,Albert Shesternyov,Lajos Baroti,Ferenc Sipos,26844,Roker Park Ground- Sunderland,Quarter-finals,24311,Juan Gardeazabal,England,1966
Germany,Uruguay,4,,0,,Helmut Schoen,Uwe Seeler,Ondino Viera,Horacio Troche,40007,Hillsborough- Sheffield,Quarter-finals,24311,Jim Finney,England,1966
England,France,2,,0,,Alf Ramsey,Bobby Moore,Henri Guerin,Marcel Artelesa,98270,Wembley Stadium- London,Group stage,24308,Arturo Yamasaki Maldonado,England,1966
Hungary,Bulgaria,3,,1,,Lajos Baroti,Ferenc Sipos,Rudolf Vytlacil,Boris Gaganelov,24129,Old Trafford Stadium- Manchester,Group stage,24308,Roberto Goicoechea,England,1966
Germany,Spain,2,,1,,Helmut Schoen,Uwe Seeler,Jose Villalonga,Ignacio Zoco,42187,Villa Park- Birmingham,Group stage,24308,Armando Marques,England,1966
Soviet Union,Chile,2,,1,,Nikolai Morozov,Albert Shesternyov,Luis Alamos,Leonel Sánchez,16027,Roker Park Ground- Sunderland,Group stage,24308,John Adair,England,1966
Uruguay,Mexico,0,,0,,Ondino Viera,Horacio Troche,Ignacio Trellez,Gustavo Peña,61112,Wembley Stadium- London,Group stage,24307,Bertil Loeoew,England,1966
Argentina,Switzerland,2,,0,,Juan Carlos Lorenzo,Antonio Rattín,Alfredo Foni,René Brodmann,32127,Hillsborough- Sheffield,Group stage,24307,Joaquim Fernandes Campos,England,1966
Portugal,Brazil,3,,1,,Otto Gloria,Mário Coluna,Vicente Feola,Orlando Peçanha,58479,Goodison Park- Liverpool,Group stage,24307,George Mccabe,England,1966
Korea DPR,Italy,1,,0,,Rye Hyun Myung,Pak Seung-zin,Edmondo Fabbri,Giacomo Bulgarelli,17829,Ayresome Park- Middlesbrough,Group stage,24307,Pierre Schwinte,England,1966
Germany,Argentina,0,,0,,Helmut Schoen,Uwe Seeler,Juan Carlos Lorenzo,Antonio Rattín,46587,Villa Park- Birmingham,Group stage,24304,Konstantin Zecevic,England,1966
Soviet Union,Italy,1,,0,,Nikolai Morozov,Albert Shesternyov,Edmondo Fabbri,Sandro Salvadore,27793,Roker Park Ground- Sunderland,Group stage,24304,Rudolf Kreitlein,England,1966
Portugal,Bulgaria,3,,0,,Otto Gloria,Mário Coluna,Rudolf Vytlacil,Boris Gaganelov,25438,Old Trafford Stadium- Manchester,Group stage,24304,Jose Maria Codesal,England,1966
England,Mexico,2,,0,,Alf Ramsey,Bobby Moore,Ignacio Trellez,Gustavo Peña,92570,Wembley Stadium- London,Group stage,24304,Concetto Lo Bello,England,1966
Spain,Switzerland,2,,1,,Jose Villalonga,Francisco Gento,Alfredo Foni,René Brodmann,32028,Hillsborough- Sheffield,Group stage,24303,Tofik Bakhramov,England,1966
Uruguay,France,2,,1,,Ondino Viera,Horacio Troche,Henri Guerin,Marcel Artelesa,45662,White City- London,Group stage,24303,Karol Galba,England,1966
Hungary,Brazil,3,,1,,Lajos Baroti,Ferenc Sipos,Vicente Feola,Hilderaldo Bellini,51387,Goodison Park- Liverpool,Group stage,24303,Kenneth Dagnall,England,1966
Korea DPR,Chile,1,,1,,Rye Hyun Myung,Pak Seung-zin,Luis Alamos,Leonel Sánchez,13792,Ayresome Park- Middlesbrough,Group stage,24303,Aly Hussein Kandil,England,1966
Argentina,Spain,2,,1,,Juan Carlos Lorenzo,Antonio Rattín,Jose Villalonga,Francisco Gento,42738,Villa Park- Birmingham,Group stage,24301,Dimitar Rumentchev,England,1966
France,Mexico,1,,1,,Henri Guerin,Marcel Artelesa,Ignacio Trellez,Gustavo Peña,69237,Wembley Stadium- London,Group stage,24301,Menachem Ashkenazi,England,1966
Italy,Chile,2,,0,,Edmondo Fabbri,Sandro Salvadore,Luis Alamos,Leonel Sánchez,27199,Roker Park Ground- Sunderland,Group stage,24301,Gottfried Dienst,England,1966
Portugal,Hungary,3,,1,,Otto Gloria,Mário Coluna,Lajos Baroti,Ferenc Sipos,29886,Old Trafford Stadium- Manchester,Group stage,24301,Leo Callaghan,England,1966
Brazil,Bulgaria,2,,0,,Vicente Feola,Hilderaldo Bellini,Rudolf Vytlacil,Boris Gaganelov,47308,Goodison Park- Liverpool,Group stage,24300,Kurt Tschenscher,England,1966
Soviet Union,Korea DPR,3,,0,,Nikolai Morozov,Albert Shesternyov,Rye Hyun Myung,Pak Seung-zin,23006,Ayresome Park- Middlesbrough,Group stage,24300,Juan Gardeazabal,England,1966
Germany,Switzerland,5,,0,,Helmut Schoen,Uwe Seeler,Alfredo Foni,Heinz Schneiter,36127,Hillsborough- Sheffield,Group stage,24300,Hugh Phillips,England,1966
England,Uruguay,0,,0,,Alf Ramsey,Bobby Moore,Ondino Viera,Horacio Troche,87148,Wembley Stadium- London,Group stage,24299,Istvan Zsolt,England,1966
Brazil,Czechoslovakia,3,,1,,Aymore Moreira,Mauro Ramos,Rudolf Vytlacil,Ladislav Novák,68679,Nacional- Santiago De Chile,Final,22814,Nikolaj Latychev,Chile,1962
Chile,Yugoslavia,1,,0,,Fernando Riera,Jorge Toro,Ljubomir Lovric,Milan Galić,66697,Nacional- Santiago De Chile,Third-place match,22813,Juan Gardeazabal,Chile,1962
Brazil,Chile,4,,2,,Aymore Moreira,Mauro Ramos,Fernando Riera,Jorge Toro,76594,Nacional- Santiago De Chile,Semi-finals,22810,Arturo Yamasaki Maldonado,Chile,1962
Czechoslovakia,Yugoslavia,3,,1,,Rudolf Vytlacil,Ladislav Novák,Ljubomir Lovric,Milan Galić,5890,Estadio Sausalito- Vina Del Mar,Semi-finals,22810,Gottfried Dienst,Chile,1962
Chile,Soviet Union,2,,1,,Fernando Riera,Sergio Navarro,Gavril Kachalin,Igor Netto,17268,Carlos Dittborn- Arica,Quarter-finals,22807,Leo Horn,Chile,1962
Brazil,England,3,,1,,Aymore Moreira,Mauro Ramos,Walter Winterbottom,Johnny Haynes,17736,Estadio Sausalito- Vina Del Mar,Quarter-finals,22807,Pierre Schwinte,Chile,1962
Czechoslovakia,Hungary,1,,0,,Rudolf Vytlacil,Ladislav Novák,Lajos Baroti,Gyula Grosics,11690,Estadio El Teniente-Codelco- Rancagua,Quarter-finals,22807,Nikolaj Latychev,Chile,1962
Yugoslavia,Germany,1,,0,,Ljubomir Lovric,Milan Galić,Sepp Herberger,Hans Schäfer,63324,Nacional- Santiago De Chile,Quarter-finals,22807,Arturo Yamasaki Maldonado,Chile,1962
England,Bulgaria,0,,0,,Walter Winterbottom,Johnny Haynes,Georgi Pachedzhiev,Nikola Kovachev,5700,Estadio El Teniente-Codelco- Rancagua,Group stage,22804,Arthur Blavier,Chile,1962
Mexico,Czechoslovakia,3,,1,,Ignacio Trellez,Antonio Carbajal,Rudolf Vytlacil,Ladislav Novák,10648,Estadio Sausalito- Vina Del Mar,Group stage,22804,Gottfried Dienst,Chile,1962
Italy,Switzerland,3,,0,,Paolo Mazza,Lorenzo Buffon,Karl Rappan,Charles Antenen,59828,Nacional- Santiago De Chile,Group stage,22804,Nikolaj Latychev,Chile,1962
Yugoslavia,Colombia,5,,0,,Ljubomir Lovric,Milan Galić,Adolfo Pedernera,Efraín Sánchez,7167,Carlos Dittborn- Arica,Group stage,22804,Carlos Robles,Chile,1962
Germany,Chile,2,,0,,Sepp Herberger,Hans Schäfer,Fernando Riera,Sergio Navarro,67224,Nacional- Santiago De Chile,Group stage,22803,Bob Davidson,Chile,1962
Soviet Union,Uruguay,2,,1,,Gavril Kachalin,Igor Netto,Juan Carlos Corazzo,Horacio Troche,9973,Carlos Dittborn- Arica,Group stage,22803,Cesare Jonni,Chile,1962
Hungary,Argentina,0,,0,,Lajos Baroti,Gyula Grosics,Juan Carlos Lorenzo,Martín Pando,7945,Estadio El Teniente-Codelco- Rancagua,Group stage,22803,Arturo Yamasaki Maldonado,Chile,1962
Brazil,Spain,2,,1,,Aymore Moreira,Mauro Ramos,Helenio Herrera,Enrique Collar,18715,Estadio Sausalito- Vina Del Mar,Group stage,22803,Sergio Bustamante,Chile,1962
Spain,Mexico,1,,0,,Helenio Herrera,Francisco Gento,Ignacio Trellez,Antonio Carbajal,11875,Estadio Sausalito- Vina Del Mar,Group stage,22800,Branko Tesanic,Chile,1962
Soviet Union,Colombia,4,,4,,Gavril Kachalin,Igor Netto,Adolfo Pedernera,Efraín Sánchez,8040,Carlos Dittborn- Arica,Group stage,22800,Joao Etzel Filho,Chile,1962
Hungary,Bulgaria,6,,1,,Lajos Baroti,László Sárosi,Georgi Pachedzhiev,Kiril Rakarov,7442,Estadio El Teniente-Codelco- Rancagua,Group stage,22800,Juan Gardeazabal,Chile,1962
Germany,Switzerland,2,,1,,Sepp Herberger,Hans Schäfer,Karl Rappan,Charles Antenen,64922,Nacional- Santiago De Chile,Group stage,22800,Leo Horn,Chile,1962
Chile,Italy,2,,0,,Fernando Riera,Sergio Navarro,Paolo Mazza,Bruno Mora,66057,Nacional- Santiago De Chile,Group stage,22799,Ken Aston,Chile,1962
Brazil,Czechoslovakia,0,,0,,Aymore Moreira,Mauro Ramos,Rudolf Vytlacil,Ladislav Novák,14903,Estadio Sausalito- Vina Del Mar,Group stage,22799,Pierre Schwinte,Chile,1962
England,Argentina,3,,1,,Walter Winterbottom,Johnny Haynes,Juan Carlos Lorenzo,Rubén Marino Navarro,9794,Estadio El Teniente-Codelco- Rancagua,Group stage,22799,Nikolaj Latychev,Chile,1962
Yugoslavia,Uruguay,3,,1,,Ljubomir Lovric,Milan Galić,Juan Carlos Corazzo,Horacio Troche,8829,Carlos Dittborn- Arica,Group stage,22799,Karol Galba,Chile,1962
Germany,Italy,0,,0,,Sepp Herberger,Hans Schäfer,Paolo Mazza,Lorenzo Buffon,65440,Nacional- Santiago De Chile,Group stage,22797,Bob Davidson,Chile,1962
Hungary,England,2,,1,,Lajos Baroti,Gyula Grosics,Walter Winterbottom,Johnny Haynes,7938,Estadio El Teniente-Codelco- Rancagua,Group stage,22797,Leo Horn,Chile,1962
Czechoslovakia,Spain,1,,0,,Rudolf Vytlacil,Ladislav Novák,Helenio Herrera,Joan Segarra,12700,Estadio Sausalito- Vina Del Mar,Group stage,22797,Carl Steiner,Chile,1962
Soviet Union,Yugoslavia,2,,0,,Gavril Kachalin,Igor Netto,Ljubomir Lovric,Milan Galić,9622,Carlos Dittborn- Arica,Group stage,22797,Albert Dusch,Chile,1962
Chile,Switzerland,3,,1,,Fernando Riera,Sergio Navarro,Karl Rappan,Charles Antenen,65006,Nacional- Santiago De Chile,Group stage,22796,Ken Aston,Chile,1962
Uruguay,Colombia,2,,1,,Juan Carlos Corazzo,Horacio Troche,Adolfo Pedernera,Francisco Zuluaga,7908,Carlos Dittborn- Arica,Group stage,22796,Andor Dorogi,Chile,1962
Brazil,Mexico,2,,0,,Aymore Moreira,Mauro Ramos,Ignacio Trellez,Antonio Carbajal,10484,Estadio Sausalito- Vina Del Mar,Group stage,22796,Gottfried Dienst,Chile,1962
Argentina,Bulgaria,1,,0,,Juan Carlos Lorenzo,Rubén Marino Navarro,Georgi Pachedzhiev,Kiril Rakarov,7134,Estadio El Teniente-Codelco- Rancagua,Group stage,22796,Juan Gardeazabal,Chile,1962
Brazil,Sweden,5,,2,,Vicente Feola,Hilderaldo Bellini,George Raynor,Nils Liedholm,49737,Rasunda Stadium- Solna,Final,21365,Maurice Guigue,Sweden,1958
France,Germany,6,,3,,Albert Batteaux,Armand Penverne,Sepp Herberger,Hans Schäfer,32483,Nya Ullevi- Gothenburg,Third-place match,21364,Juan Brozzi,Sweden,1958
Sweden,Germany,3,,1,,George Raynor,Nils Liedholm,Sepp Herberger,Hans Schäfer,49471,Nya Ullevi- Gothenburg,Semi-finals,21360,Istvan Zsolt,Sweden,1958
Brazil,France,5,,2,,Vicente Feola,Hilderaldo Bellini,Albert Batteaux,Robert Jonquet,27100,Rasunda Stadium- Solna,Semi-finals,21360,Benjamin Griffiths,Sweden,1958
France,Northern Ireland,4,,0,,Albert Batteaux,Robert Jonquet,Peter Doherty,Danny Blanchflower,11800,Idrottsparken- Norrkï¿½Ping,Quarter-finals,21355,Juan Gardeazabal,Sweden,1958
Germany,Yugoslavia,1,,0,,Sepp Herberger,Hans Schäfer,Aleksandar Tirnanic,Branko Zebec,20055,Malmo Stadion- Malmï¿½,Quarter-finals,21355,Paul Wyssling,Sweden,1958
Brazil,Wales,1,,0,,Vicente Feola,Hilderaldo Bellini,James Murphy,Dave Bowen,25923,Nya Ullevi- Gothenburg,Quarter-finals,21355,Fritz Seipelt,Sweden,1958
Sweden,Soviet Union,2,,0,,George Raynor,Nils Liedholm,Gavril Kachalin,Nikita Simonyan,31900,Rasunda Stadium- Solna,Quarter-finals,21355,Reginald Leafe,Sweden,1958
Northern Ireland,Czechoslovakia,2,,1,,Peter Doherty,Danny Blanchflower,Karel Kolsky,Ladislav Novák,6196,Malmo Stadion- Malmï¿½,Group stage play-off,21353,Maurice Guigue,Sweden,1958
Wales,Hungary,2,,1,,James Murphy,Dave Bowen,Lajos Baroti,József Bozsik,2823,Rasunda Stadium- Solna,Group stage play-off,21353,Nikolaj Latychev,Sweden,1958
Soviet Union,England,1,,0,,Gavril Kachalin,Nikita Simonyan,Walter Winterbottom,Billy Wright,23182,Nya Ullevi- Gothenburg,Group stage play-off,21353,Albert Dusch,Sweden,1958
Sweden,Wales,0,,0,,George Raynor,Bengt Gustavsson,James Murphy,Dave Bowen,30287,Rasunda Stadium- Solna,Group stage,21351,Lucien Van Nuffel,Sweden,1958
Paraguay,Yugoslavia,3,,3,,Aurelio Gonzalez,Juan Bautista Agüero,Aleksandar Tirnanic,Branko Zebec,13103,Tunavallen- Eskilstuna,Group stage,21351,Martin Macko,Sweden,1958
Germany,Northern Ireland,2,,2,,Sepp Herberger,Hans Schäfer,Peter Doherty,Danny Blanchflower,21990,Malmo Stadion- Malmï¿½,Group stage,21351,Joaquim Fernandes Campos,Sweden,1958
Czechoslovakia,Argentina,6,,1,,Karel Kolsky,Ladislav Novák,Guillermo Stabile,Pedro Dellacha,16418,Olympia Stadium- Helsingborg,Group stage,21351,Arthur Ellis,Sweden,1958
England,Austria,2,,2,,Walter Winterbottom,Billy Wright,Josef Argauer,Gerhard Hanappi,15872,Ryavallen- Boras,Group stage,21351,Jan Bronkhorst,Sweden,1958
Brazil,Soviet Union,2,,0,,Vicente Feola,Hilderaldo Bellini,Gavril Kachalin,Igor Netto,50928,Nya Ullevi- Gothenburg,Group stage,21351,Maurice Guigue,Sweden,1958
Hungary,Mexico,4,,0,,Lajos Baroti,Nándor Hidegkuti,Antonio Lopez,Antonio Carbajal,13300,Jarnvallen- Sandviken,Group stage,21351,Arne Eriksson,Sweden,1958
France,Scotland,2,,1,,Albert Batteaux,Robert Jonquet,Dawson Walker,Bobby Evans,13554,Eyravallen- Orebro,Group stage,21351,Juan Brozzi,Sweden,1958
Sweden,Hungary,2,,1,,George Raynor,Nils Liedholm,Lajos Baroti,József Bozsik,38850,Rasunda Stadium- Solna,Group stage,21348,Jack Mowat,Sweden,1958
Soviet Union,Austria,2,,0,,Gavril Kachalin,Nikita Simonyan,Josef Argauer,Gerhard Hanappi,21239,Ryavallen- Boras,Group stage,21347,Carl Frederik Jorgensen,Sweden,1958
Germany,Czechoslovakia,2,,2,,Sepp Herberger,Hans Schäfer,Karel Kolsky,Ladislav Novák,25000,Olympia Stadium- Helsingborg,Group stage,21347,Arthur Ellis,Sweden,1958
Argentina,Northern Ireland,3,,1,,Guillermo Stabile,Pedro Dellacha,Peter Doherty,Danny Blanchflower,14174,Orjans Vall- Halmstad,Group stage,21347,Sten Ahlner,Sweden,1958
Yugoslavia,France,3,,2,,Aleksandar Tirnanic,Branko Zebec,Albert Batteaux,Roger Marche,12217,Arosvallen- Vasteras,Group stage,21347,Benjamin Griffiths,Sweden,1958
Paraguay,Scotland,3,,2,,Aurelio Gonzalez,Juan Bautista Agüero,Dawson Walker,Tommy Younger,11665,Idrottsparken- Norrkï¿½Ping,Group stage,21347,Vincenzo Orlandini,Sweden,1958
Brazil,England,0,,0,,Vicente Feola,Hilderaldo Bellini,Walter Winterbottom,Billy Wright,40895,Nya Ullevi- Gothenburg,Group stage,21347,Albert Dusch,Sweden,1958
Mexico,Wales,1,,1,,Antonio Lopez,Antonio Carbajal,James Murphy,Dave Bowen,15150,Rasunda Stadium- Solna,Group stage,21347,Leo Lemesic,Sweden,1958
Sweden,Mexico,3,,0,,George Raynor,Nils Liedholm,Antonio Lopez,Antonio Carbajal,34107,Rasunda Stadium- Solna,Group stage,21344,Nikolaj Latychev,Sweden,1958
Northern Ireland,Czechoslovakia,1,,0,,Peter Doherty,Danny Blanchflower,Karel Kolsky,Ladislav Novák,10647,Orjans Vall- Halmstad,Group stage,21344,Fritz Seipelt,Sweden,1958
Hungary,Wales,1,,1,,Lajos Baroti,Nándor Hidegkuti,James Murphy,Dave Bowen,15343,Jarnvallen- Sandviken,Group stage,21344,Jose Maria Codesal,Sweden,1958
Yugoslavia,Scotland,1,,1,,Aleksandar Tirnanic,Branko Zebec,Dawson Walker,Tommy Younger,9591,Arosvallen- Vasteras,Group stage,21344,Paul Wyssling,Sweden,1958
Brazil,Austria,3,,0,,Vicente Feola,Hilderaldo Bellini,Josef Argauer,Gerhard Hanappi,17788,Rimnersvallen- Udevalla,Group stage,21344,Maurice Guigue,Sweden,1958
Soviet Union,England,2,,2,,Gavril Kachalin,Nikita Simonyan,Walter Winterbottom,Billy Wright,49348,Nya Ullevi- Gothenburg,Group stage,21344,Istvan Zsolt,Sweden,1958
France,Paraguay,7,,3,,Albert Batteaux,Robert Jonquet,Aurelio Gonzalez,Juan Bautista Agüero,16518,Idrottsparken- Norrkï¿½Ping,Group stage,21344,Juan Gardeazabal,Sweden,1958
Argentina,Germany,1,,3,,Guillermo Stabile,Pedro Dellacha,Sepp Herberger,Hans Schäfer,31156,Malmo Stadion- Malmï¿½,Group stage,21344,Reginald Leafe,Sweden,1958
Germany,Hungary,3,,2,,Sepp Herberger,Fritz Walter,Gusztav Sebes,Ferenc Puskás,62500,Wankdorf Stadium- Berne,Final,19909,William Ling,Switzerland,1954
Austria,Uruguay,3,,1,,Walter Nausch,Ernst Ocwirk,Juan Lopez,William Martínez,32000,Hardturm- Zurich,Third-place match,19908,Paul Wyssling,Switzerland,1954
Hungary,Uruguay,4,,2,,Gusztav Sebes,József Bozsik,Juan Lopez,William Martínez,45000,La Pontaise- Lausanne,Semi-finals,19905,Benjamin Griffiths,Switzerland,1954
Germany,Austria,6,,1,,Sepp Herberger,Fritz Walter,Walter Nausch,Ernst Ocwirk,58000,St. Jakob- Basel,Semi-finals,19905,Vincenzo Orlandini,Switzerland,1954
Germany,Yugoslavia,2,,0,,Sepp Herberger,Fritz Walter,Aleksandar Tirnanic,Rajko Mitić,17000,Charmilles- Geneva,Quarter-finals,19902,Istvan Zsolt,Switzerland,1954
Hungary,Brazil,4,,2,,Gusztav Sebes,József Bozsik,Zeze Moreira,Bauer,40000,Wankdorf Stadium- Berne,Quarter-finals,19902,Arthur Ellis,Switzerland,1954
Uruguay,England,4,,2,,Juan Lopez,Obdulio Varela,Walter Winterbottom,Billy Wright,28000,St. Jakob- Basel,Quarter-finals,19901,Carl Steiner,Switzerland,1954
Switzerland,Austria,5,,7,,Karl Rappan,Roger Bocquet,Walter Nausch,Ernst Ocwirk,35000,La Pontaise- Lausanne,Quarter-finals,19901,Charlie Faultless,Switzerland,1954
Germany,Türkiye,7,,2,,Sepp Herberger,Fritz Walter,Sandro Puppo,Lefter Küçükandonyadis,17000,Hardturm- Zurich,Group stage play-off,19898,Raymond Vincenti,Switzerland,1954
Switzerland,Italy,4,,1,,Karl Rappan,Roger Bocquet,Lajos Czeizler,Egisto Pandolfini,30000,St. Jakob- Basel,Group stage play-off,19898,Benjamin Griffiths,Switzerland,1954
Hungary,Germany,8,,3,,Gusztav Sebes,Ferenc Puskás,Sepp Herberger,Fritz Walter,56000,St. Jakob- Basel,Group stage,19895,William Ling,Switzerland,1954
Türkiye,Korea Republic,7,,0,,Sandro Puppo,Turgay Şeren,Yong Shik Kim,Park Kyu-chung,4000,Charmilles- Geneva,Group stage,19895,Esteban Marino,Switzerland,1954
Italy,Belgium,4,,1,,Lajos Czeizler,Egisto Pandolfini,Doug Livingstone,Joseph Mermans,24000,Comunale di Cornaredo- Lugano,Group stage,19895,Carl Steiner,Switzerland,1954
Switzerland,England,0,,2,,Karl Rappan,Roger Bocquet,Walter Winterbottom,Billy Wright,43500,Wankdorf Stadium- Berne,Group stage,19895,Istvan Zsolt,Switzerland,1954
Uruguay,Scotland,7,,0,,Juan Lopez,Obdulio Varela,Andy Battie,Willie Cunningham,34000,St. Jakob- Basel,Group stage,19894,Vincenzo Orlandini,Switzerland,1954
Brazil,Yugoslavia,1,,1,,Zeze Moreira,Bauer,Aleksandar Tirnanic,Rajko Mitić,24637,La Pontaise- Lausanne,Group stage,19894,Charlie Faultless,Switzerland,1954
Austria,Czechoslovakia,5,,0,,Walter Nausch,Ernst Ocwirk,Josef Cejp,Ladislav Novák,26000,Hardturm- Zurich,Group stage,19894,Vasa Stefanovic,Switzerland,1954
France,Mexico,3,,2,,Pierre Pibarot,Roger Marche,Antonio Lopez,José Naranjo,19000,Charmilles- Geneva,Group stage,19894,Manuel Asensi,Switzerland,1954
Switzerland,Italy,2,,1,,Karl Rappan,Roger Bocquet,Lajos Czeizler,Giampiero Boniperti,43000,La Pontaise- Lausanne,Group stage,19892,Mario Viana,Switzerland,1954
Hungary,Korea Republic,9,,0,,Gusztav Sebes,Ferenc Puskás,Yong Shik Kim,Min Byung-dae,13000,Hardturm- Zurich,Group stage,19892,Raymond Vincenti,Switzerland,1954
Germany,Türkiye,4,,1,,Sepp Herberger,Fritz Walter,Sandro Puppo,Turgay Şeren,28000,Wankdorf Stadium- Berne,Group stage,19892,Jose Da Costa Vieira,Switzerland,1954
England,Belgium,4,,4,,Walter Winterbottom,Billy Wright,Doug Livingstone,Joseph Mermans,14000,St. Jakob- Basel,Group stage,19892,Emil Schmetzer,Switzerland,1954
Uruguay,Czechoslovakia,2,,0,,Juan Lopez,Obdulio Varela,Oldrich Nejedly,Ladislav Novák,20500,Wankdorf Stadium- Berne,Group stage,19891,Arthur Ellis,Switzerland,1954
Yugoslavia,France,1,,0,,Aleksandar Tirnanic,Stjepan Bobek,Pierre Pibarot,Robert Jonquet,16000,La Pontaise- Lausanne,Group stage,19891,Benjamin Griffiths,Switzerland,1954
Brazil,Mexico,5,,0,,Zeze Moreira,Bauer,Antonio Lopez,José Naranjo,13470,Charmilles- Geneva,Group stage,19891,Paul Wyssling,Switzerland,1954
Austria,Scotland,1,,0,,Walter Nausch,Kurt Schmied,Andy Battie,Willie Cunningham,25000,Hardturm- Zurich,Group stage,19891,Laurent Franken,Switzerland,1954
Sweden,Spain,3,,1,,George Raynor,Erik Nilsson,Guillermo Eizaguirre,Telmo Zarra,11227,Pacaembu- Sao Paulo,Final stage,18460,Karel Van Der Meer,Brazil,1950
Uruguay,Brazil,2,,1,,Juan Lopez,Obdulio Varela,Flavio Costa,Augusto da Costa,173850,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho- Rio De Janeiro,Final,18460,George Reader,Brazil,1950
Brazil,Spain,6,,1,,Flavio Costa,Augusto da Costa,Guillermo Eizaguirre,Agustín Gaínza,152772,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho- Rio De Janeiro,Final stage,18457,Reginald Leafe,Brazil,1950
Uruguay,Sweden,3,,2,,Juan Lopez,Obdulio Varela,George Raynor,Erik Nilsson,7987,Pacaembu- Sao Paulo,Final stage,18457,Giovanni Galeati,Brazil,1950
Brazil,Sweden,7,,1,,Flavio Costa,Augusto da Costa,George Raynor,Erik Nilsson,138886,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho- Rio De Janeiro,Final stage,18453,Arthur Ellis,Brazil,1950
Uruguay,Spain,2,,2,,Juan Lopez,Obdulio Varela,Guillermo Eizaguirre,Agustín Gaínza,44802,Pacaembu- Sao Paulo,Final stage,18453,Benjamin Griffiths,Brazil,1950
Chile,United States,5,,2,,Arturo Bucciardi,Sergio Livingstone,Bill Jeffrey,Walter Bahr,8501,Ilha do Retiro- Recife,Group stage,18446,Mario Gardelli,Brazil,1950
Italy,Paraguay,2,,0,,Ferruccio Novo,Riccardo Carapellese,Manuel Fleitas Solich,César López Fretes,25811,Pacaembu- Sao Paulo,Group stage,18446,Arthur Ellis,Brazil,1950
Uruguay,Bolivia,8,,0,,Juan Lopez,Obdulio Varela,Mario Pretto,José Bustamante,5284,Independencia- Belo Horizonte,Group stage,18446,George Reader,Brazil,1950
Spain,England,1,,0,,Guillermo Eizaguirre,Agustín Gaínza,Walter Winterbottom,Billy Wright,74462,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho- Rio De Janeiro,Group stage,18446,Giovanni Galeati,Brazil,1950
Switzerland,Mexico,2,,1,,Franco Andreoli,Roger Bocquet,Octavio Vial,Horacio Casarín,3580,Eucaliptos- Porto Alegre,Group stage,18446,Ivan Eklind,Brazil,1950
Brazil,Yugoslavia,2,,0,,Flavio Costa,Augusto da Costa,Milorad Arsenijevic,Zlatko Čajkovski,142429,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho- Rio De Janeiro,Group stage,18445,Benjamin Griffiths,Brazil,1950
Spain,Chile,2,,0,,Guillermo Eizaguirre,Agustín Gaínza,Arturo Bucciardi,Sergio Livingstone,19790,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho- Rio De Janeiro,Group stage,18443,Alberto Malcher,Brazil,1950
United States,England,1,,0,,Bill Jeffrey,Ed McIlvenny,Walter Winterbottom,Billy Wright,10151,Independencia- Belo Horizonte,Group stage,18443,Generoso Dattilo,Brazil,1950
Sweden,Paraguay,2,,2,,George Raynor,Erik Nilsson,Manuel Fleitas Solich,César López Fretes,7903,Durival de Brito- Curitiba,Group stage,18443,Robert Mitchell,Brazil,1950
Brazil,Switzerland,2,,2,,Flavio Costa,Augusto da Costa,Franco Andreoli,Alfred Bickel,42032,Pacaembu- Sao Paulo,Group stage,18442,Ramon Azon Roma,Brazil,1950
Yugoslavia,Mexico,4,,1,,Milorad Arsenijevic,Ivica Horvat,Octavio Vial,Horacio Casarín,11078,Eucaliptos- Porto Alegre,Group stage,18442,Reginald Leafe,Brazil,1950
Sweden,Italy,3,,2,,George Raynor,Erik Nilsson,Ferruccio Novo,Riccardo Carapellese,36502,Pacaembu- Sao Paulo,Group stage,18439,Jean Lutz,Brazil,1950
England,Chile,2,,0,,Walter Winterbottom,Billy Wright,Arturo Bucciardi,Sergio Livingstone,29703,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho- Rio De Janeiro,Group stage,18439,Karel Van Der Meer,Brazil,1950
Spain,United States,3,,1,,Guillermo Eizaguirre,Ignacio Eizaguirre,Bill Jeffrey,Harry Keough,9511,Durival de Brito- Curitiba,Group stage,18439,Mario Viana,Brazil,1950
Yugoslavia,Switzerland,3,,0,,Milorad Arsenijevic,Rajko Mitić,Franco Andreoli,Alfred Bickel,7336,Independencia- Belo Horizonte,Group stage,18439,Giovanni Galeati,Brazil,1950
